OTU id;count;E00944148;E00944149;E00944151;E00944152;E00944153;E00944154;E00944156;E00944157;E00944160;E00944167;E00963469;E00963471;E00963474;E00963476;E00963478;E00963482;E00963484;E00963485;E00963490;E00963491;E00963492;E00963493;E00963495;E00963496;E00963497;E00963498;E00963499;E00963500;E00963501;E00963502;E00963505;E00963506;E00963508;E00963509;E00963510;E00963511;E00963512;E00963740;E00963743;E00963746;E00963750;E00963751;E00963753;E00963757;E00963761;E00963764;E00963842;E00963843;E00963845;E00963846;E00963850;E00963852;E00963853;E00963856;E00963857;E00963859;E00963864;E00982230;E00982232;E00982233;E00982239;E00982241;E00982256;E00982258;E00982259;E00982260;E00982262;E00982264;E00982266;E00982271;E00982273;E00982477;E00982478;E00982481;E00982487;E00982488;E00982489;E00982490;E00982493;E00982494;E00982496;E00982497;E00982499;E00982501
M68YD:03218:06026_SUB_SUB;24571;4;54;0;0;0;10;10;268;1463;129;141;4;106;1119;81;50;26;22;82;624;44;350;0;138;2537;41;2;380;2096;112;0;45;38;0;69;45;447;418;3;2;249;2390;26;170;224;454;4;0;409;1;0;14;41;4;298;757;74;1097;0;29;1;50;137;1093;1538;11;343;0;87;159;335;126;153;0;1394;1;10;31;10;19;8;1802;34;28
M68YD:04216:06604_SUB_SUB;1035;0;0;0;0;0;0;1;10;64;4;3;1;2;51;6;9;0;2;2;10;0;20;0;3;64;2;1;9;120;5;2;3;1;0;3;2;19;9;0;0;10;94;4;4;8;13;0;0;17;0;0;0;3;0;8;29;2;41;0;4;0;5;6;57;58;0;14;0;1;6;19;4;5;0;72;0;0;2;0;2;0;117;1;1
M68YD:00646:04707_SUB_SUB;2570;0;0;0;0;0;0;0;0;0;0;19;0;0;110;0;0;0;8;0;81;6;0;0;15;375;0;0;0;17;0;0;1;0;1;0;3;75;32;0;3;0;97;0;57;22;38;0;0;14;0;0;0;0;0;0;0;0;819;0;14;0;3;0;21;40;6;264;0;29;71;239;0;1;0;24;0;0;0;0;0;0;65;0;0
M68YD:00936:03064_SUB_SUB;113;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;3;1;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;7;0;4;0;1;0;0;1;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;1;0;11;0;0;4;11;0;0;0;1;0;0;0;0;0;0;4;0;0
M68YD:00643:00770_SUB_SUB;8106;22;106;22;3;4;12;4;1001;128;834;11;1;84;41;18;4;0;0;6;999;0;262;0;2;165;0;0;378;0;47;0;0;35;0;0;0;12;48;4;1;33;550;53;46;169;43;0;20;30;0;0;0;0;39;138;13;0;81;0;159;0;18;0;1017;117;7;68;190;22;82;308;1;0;0;65;0;2;0;0;3;0;578;0;0
M68YD:04083:00500_SUB_SUB;19631;3;19;0;0;0;8;3;195;1568;177;83;3;100;1268;41;27;29;16;49;473;33;246;0;67;1798;15;0;444;1560;109;4;24;73;1;34;17;230;181;3;3;197;2359;17;128;198;259;3;4;155;0;0;14;49;2;279;392;91;422;0;24;0;46;51;1120;1183;6;203;0;79;127;245;63;103;0;1162;0;7;32;4;6;5;1645;32;15
M68YD:05056:05812_SUB_SUB;118;0;0;0;0;0;0;0;1;12;0;0;0;0;1;0;7;0;0;0;2;0;4;0;0;21;1;0;0;14;0;0;0;0;0;0;1;2;2;0;0;1;4;0;0;0;1;0;0;4;0;0;0;0;0;3;3;0;17;0;0;0;1;1;2;7;0;0;0;0;0;2;1;0;0;1;0;0;1;0;0;0;0;0;1
M68YD:05144:05227_SUB_SUB;392;1;5;0;1;0;0;0;45;8;49;1;0;4;2;0;0;0;0;0;34;0;14;0;1;7;0;0;12;0;2;0;0;0;0;0;0;1;3;0;0;5;25;3;0;6;0;0;0;1;0;0;0;0;3;3;0;0;1;0;9;0;1;0;64;4;0;3;9;1;2;20;0;0;0;6;0;0;0;0;0;0;36;0;0
M68YD:01321:04383_SUB_SUB;1944;0;0;0;0;0;1;1;3;64;1;4;0;43;14;9;4;0;0;2;5;0;46;0;6;129;0;0;1;0;25;0;0;16;0;1;0;10;51;1;0;12;122;10;0;99;6;0;0;3;0;0;0;0;5;97;13;1;97;0;2;0;0;2;434;91;2;5;0;7;47;115;0;0;0;11;0;1;0;0;7;0;318;0;0
M68YD:00227:01227_SUB_SUB;1110;0;0;0;0;0;0;0;12;84;2;0;0;6;60;4;3;1;0;1;13;0;14;0;1;88;1;0;12;103;10;0;0;4;0;0;1;13;8;1;1;10;140;0;2;2;18;0;0;17;0;0;1;6;0;21;20;0;30;0;2;0;4;3;74;47;1;5;0;6;3;15;6;3;0;90;0;1;0;0;1;1;137;0;1
M68YD:00039:06225_SUB_SUB;253;0;0;0;0;0;0;0;4;16;0;3;0;1;10;1;1;0;1;2;5;1;11;0;1;24;0;0;3;15;0;0;0;0;0;1;2;2;6;0;0;3;12;0;3;3;8;0;0;4;0;0;0;0;0;5;8;3;13;0;0;0;1;2;10;22;1;4;0;1;1;3;0;3;0;13;0;0;0;0;0;0;20;0;0
M68YD:00718:02782_SUB_SUB;113;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;2;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;4;0;1;0;0;2;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;1;0;19;0;0;1;9;0;0;0;2;0;0;0;0;0;0;2;0;0
M68YD:00820:00886_SUB_SUB;120;0;0;0;0;0;0;0;1;6;1;0;0;0;7;1;0;0;0;0;3;1;0;0;0;8;1;0;2;14;0;0;0;1;0;0;0;1;0;0;0;2;19;0;1;2;1;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;5;7;0;3;0;0;1;1;0;1;0;8;0;0;0;0;0;0;18;0;0
M68YD:00893:05943_SUB_SUB;549;0;0;0;0;0;0;0;5;33;5;3;0;3;43;1;1;0;0;0;8;2;10;0;1;41;1;0;10;42;4;1;0;0;0;0;0;8;5;0;1;8;78;0;4;4;8;0;0;3;0;0;0;0;0;9;10;0;11;0;0;0;0;1;28;50;1;4;0;1;1;3;1;2;0;39;0;0;0;0;0;0;52;1;2
M68YD:01455:00997_SUB_SUB;111;0;0;0;0;0;0;0;1;15;0;0;0;2;8;0;0;0;0;1;5;0;0;0;0;6;0;0;5;6;0;0;0;0;0;1;0;1;1;0;0;1;12;0;0;2;4;0;0;1;0;0;0;0;0;5;1;1;0;0;0;0;0;0;5;4;1;1;0;0;2;0;0;0;0;12;0;0;0;0;0;0;7;0;0
